"Player","Games","Min","Ast.To","PPS","DRTG","ORTG","NRTG","TS.","USG.","ORB.","DRB.","TRB.","FGA","FGA2","FGA3","FGM2","FGM3","StlPer","AstPer","eFGPer","FloorPer","Season","Team"
"GENTILE, ALESSANDRO",9,"118:21",0.71,0.76,107.85,75.74,-32.11,0.35,21.2,8.79,11.49,10.1,38,33,5,12,1,1.47,7.63,35.53,36.99,"2016-2017","Panathinaikos Superfoods Athens"
"GIST, JAMES",15,"342:22",0.57,1.29,103.4,105.71,2.31,0.57,19.93,8.44,14.08,11.17,99,81,18,50,3,2.88,6.89,55.05,52.29,"2016-2017","Panathinaikos Superfoods Athens"
"JAMES, MIKE",25,"566:48",2.27,1.29,107.85,116.1,8.25,0.58,28.58,3.26,8.51,5.8,255,155,100,91,34,2.35,29.89,55.69,52.97,"2016-2017","Panathinaikos Superfoods Athens"
"NICHOLS, DEMETRIS",32,"489:38",0.58,1.1,106.81,99.04,-7.77,0.52,14.45,3.54,14.9,9.03,112,64,48,29,17,1.3,3.95,48.66,42.87,"2016-2017","Panathinaikos Superfoods Athens"
"PAPPAS, NIKOS",29,"499:21",1.36,1.3,108.21,104.27,-3.94,0.54,17.87,2.31,8.67,5.38,122,72,50,39,13,2.09,13.61,47.95,48.63,"2016-2017","Panathinaikos Superfoods Athens"
"RIVERS, KC",33,"912:46",0.89,1.25,109.32,113.71,4.39,0.59,19.2,1.77,9.08,5.3,296,127,169,62,71,1.59,5.29,56.93,46.79,"2016-2017","Panathinaikos Superfoods Athens"
"SINGLETON, CHRIS",33,"932:01",0.83,1.55,102.13,120.77,18.64,0.64,19.67,7.69,17.64,12.5,256,146,110,79,48,2.55,7.74,58.98,54.86,"2016-2017","Panathinaikos Superfoods Athens"
"AYON, GUSTAVO",36,"743:27",1.47,1.54,105.63,122.7,17.07,0.68,20.63,10.54,19.09,14.94,229,229,1,160,0,2.57,20.86,69.87,60.97,"2016-2017","Real Madrid"
"CARROLL, JAYCEE",36,"613:09",1.12,1.39,114.98,123.86,8.88,0.64,22.29,1.8,8.28,5.13,237,98,139,54,60,0.73,7.71,60.76,50.96,"2016-2017","Real Madrid"
"DONCIC, LUKA",35,"696:14",2.39,1.4,106.83,119.39,12.56,0.6,20.41,5.8,20.38,13.31,196,91,105,46,39,2.42,33.49,53.32,51.91,"2016-2017","Real Madrid"
"DRAPER, DONTAYE",29,"389:42",2.16,1.14,109.84,106.7,-3.14,0.52,12.05,1.88,6.81,4.42,70,28,42,15,12,3.32,15.3,47.14,46.08,"2016-2017","Real Madrid"
"FERNANDEZ, RUDY",32,"747:39",2.71,0.99,109.58,106.83,-2.75,0.47,16.95,3.93,10.34,7.23,210,77,133,29,43,2.86,20.86,44.52,44.32,"2016-2017","Real Madrid"
"HUNTER, OTHELLO",35,"584:09",0.7,1.53,108.19,125.04,16.85,0.66,19.12,12.15,19.95,16.17,173,171,2,112,0,1.64,6.36,64.74,62.6,"2016-2017","Real Madrid"
"LLULL, SERGIO",33,"917:35",2.52,1.28,114.18,116.81,2.63,0.56,29.83,1.33,6.29,3.88,425,204,221,104,73,1.47,37.49,50.24,50.99,"2016-2017","Real Madrid"
"MACIULIS, JONAS",29,"485:09",2.2,1.48,110.5,137.3,26.8,0.68,14.15,5.55,10.46,8.08,120,52,68,29,34,2.43,7.23,66.67,57.71,"2016-2017","Real Madrid"
