"Player","G","GS","Min","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","O","D","T","As","St","To","Fv","Ag","Cm","Rv","PIR","Season","Team"
"LESSORT, MATHIAS","30","29","632:58","255","100","181","0","1","55","87","86","84","170","23","25","52","22","12","85","89","321","2017-2018","Crvena Zvezda mts Belgrade"
"OMIC, ALEN","11","0","191:01","92","38","54","0","0","16","31","18","25","43","9","2","11","2","1","25","38","118","2017-2018","Crvena Zvezda mts Belgrade"
"RADICEVIC, NIKOLA","9","1","111:06","34","6","26","2","12","16","22","1","9","10","17","5","9","0","2","22","20","17","2017-2018","Crvena Zvezda mts Belgrade"
"ROCHESTIE, TAYLOR","30","29","780:18","403","102","185","50","123","49","55","13","55","68","150","24","54","2","9","62","71","431","2017-2018","Crvena Zvezda mts Belgrade"
"BJELICA, MILKO","30","1","468:47","223","64","138","11","57","62","78","22","67","89","34","14","27","8","14","51","85","225","2016-2017","Crvena Zvezda mts Belgrade"
"DANGUBIC, NEMANJA","24","24","464:02","126","31","69","16","54","16","19","9","38","47","16","15","27","3","11","60","30","60","2016-2017","Crvena Zvezda mts Belgrade"
"DOBRIC, OGNJEN","13","0","68:30","21","7","10","2","12","1","3","1","5","6","2","4","5","0","0","7","2","8","2016-2017","Crvena Zvezda mts Belgrade"
"GUDURIC, MARKO","29","4","545:06","225","40","82","28","92","61","71","16","46","62","62","16","54","2","9","76","75","187","2016-2017","Crvena Zvezda mts Belgrade"
"JENKINS, CHARLES","30","29","782:50","282","75","166","31","73","39","46","11","47","58","80","62","33","3","19","69","60","284","2016-2017","Crvena Zvezda mts Belgrade"
"JOVIC, STEFAN","23","23","549:26","173","53","107","16","55","19","31","8","40","48","129","29","48","0","3","52","43","214","2016-2017","Crvena Zvezda mts Belgrade"
"KUZMIC, OGNJEN","30","30","620:55","282","112","204","0","0","58","82","80","129","209","30","30","46","18","13","56","79","417","2016-2017","Crvena Zvezda mts Belgrade"
"LAZIC, BRANKO","30","6","708:57","131","28","48","21","57","12","21","21","44","65","10","42","14","3","3","94","45","120","2016-2017","Crvena Zvezda mts Belgrade"
"MITROVIC, LUKA","28","27","439:44","116","46","91","3","18","15","28","23","42","65","38","13","35","3","8","31","33","121","2016-2017","Crvena Zvezda mts Belgrade"
"REBIC, NIKOLA","2","0","14:50","2","1","4","0","0","0","0","0","1","1","2","0","1","0","0","2","4","3","2016-2017","Crvena Zvezda mts Belgrade"
"SIMANIC, BORISA","3","2","16:50","2","1","3","0","2","0","0","1","2","3","1","0","0","0","2","3","0","-3","2016-2017","Crvena Zvezda mts Belgrade"
"SIMONOVIC, MARKO","30","3","801:42","378","73","133","57","146","61","74","22","85","107","21","24","24","4","15","48","66","351","2016-2017","Crvena Zvezda mts Belgrade"
"THOMPSON, DEON","13","0","136:09","56","23","41","0","0","10","20","8","11","19","6","4","3","4","2","15","16","57","2016-2017","Crvena Zvezda mts Belgrade"
"WOLTERS, NATE","27","1","407:12","192","55","120","19","50","25","32","7","50","57","59","18","33","1","6","43","42","184","2016-2017","Crvena Zvezda mts Belgrade"
"ANTONOV, SEMEN","21","0","166:16","42","14","25","1","13","11","14","15","13","28","1","4","8","5","2","18","9","35","2019-2020","CSKA Moscow"
"BAKER, RON","27","1","298:50","69","9","27","13","35","12","15","5","20","25","23","17","23","2","1","27","20","62","2019-2020","CSKA Moscow"
"BOLOMBOY, JOEL","27","1","455:45","147","41","73","13","40","26","35","34","74","108","13","7","22","12","3","43","53","204","2019-2020","CSKA Moscow"
"CLYBURN, WILL","4","0","77:08","50","15","27","4","11","8","11","8","13","21","3","3","8","0","3","4","11","51","2019-2020","CSKA Moscow"
"HACKETT, DANIEL","23","9","461:17","191","30","76","34","77","29","36","16","43","59","62","23","34","0","8","64","61","194","2019-2020","CSKA Moscow"
"HILLIARD, DARRUN","27","12","547:34","287","38","94","56","136","43","54","8","58","66","33","15","45","3","12","51","43","192","2019-2020","CSKA Moscow"
"HINES, KYLE","28","27","654:30","246","103","162","1","3","37","57","67","70","137","39","18","34","24","9","78","56","318","2019-2020","CSKA Moscow"
"JAMES, MIKE","28","25","801:49","590","104","228","79","188","145","174","13","80","93","120","19","83","3","16","46","166","584","2019-2020","CSKA Moscow"
"KOUFOS, KOSTA","17","1","162:24","63","29","53","0","0","5","9","21","27","48","4","8","5","6","3","27","14","80","2019-2020","CSKA Moscow"
"KURBANOV, NIKITA","28","28","568:26","149","23","47","28","63","19","24","30","68","98","42","18","23","9","7","58","25","189","2019-2020","CSKA Moscow"
"LOPATIN, ANDREI","1","0","0:13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2019-2020","CSKA Moscow"
"SANT-ROOS, HOWARD","10","3","189:23","55","15","34","4","23","13","15","11","14","25","17","12","7","0","1","23","15","53","2019-2020","CSKA Moscow"
"STRELNIEKS, JANIS","21","6","338:00","151","28","52","20","48","35","38","4","33","37","43","12","17","0","0","32","39","178","2019-2020","CSKA Moscow"
"UKHOV, IVAN","6","0","31:03","7","2","3","1","5","0","0","2","5","7","2","2","3","0","1","7","2","4","2019-2020","CSKA Moscow"
"VOIGTMANN, JOHANNES","28","24","625:24","215","40","71","41","100","12","21","34","112","146","43","18","30","12","4","67","30","264","2019-2020","CSKA Moscow"
"VORONTSEVICH, ANDREY","20","3","271:58","72","15","32","12","42","6","12","17","42","59","19","10","8","5","3","35","15","81","2019-2020","CSKA Moscow"
"ANTONOV, SEMEN","21","5","149:42","29","9","19","2","15","5","9","12","10","22","3","2","0","2","1","26","16","20","2018-2019","CSKA Moscow"
"BOLOMBOY, JOEL","28","5","261:13","74","22","39","6","13","12","20","27","27","54","10","4","6","7","1","41","13","82","2018-2019","CSKA Moscow"
"CLYBURN, WILL","35","13","944:30","475","128","243","34","99","117","157","59","179","238","51","36","49","6","17","66","160","614","2018-2019","CSKA Moscow"
"DE COLO, NANDO","34","24","823:56","501","101","183","59","137","122","129","16","68","84","116","32","70","0","18","60","140","558","2018-2019","CSKA Moscow"
"HACKETT, DANIEL","35","26","607:05","210","42","92","20","51","66","80","11","53","64","61","22","34","1","5","104","101","221","2018-2019","CSKA Moscow"
"HIGGINS, CORY","32","11","813:50","476","105","213","51","104","113","126","18","52","70","58","13","43","8","14","80","147","461","2018-2019","CSKA Moscow"
"HINES, KYLE","36","5","704:01","263","105","181","0","0","53","84","66","64","130","49","24","35","26","20","92","64","302","2018-2019","CSKA Moscow"
"HUNTER, OTHELLO","36","31","644:41","276","118","198","0","0","40","55","68","87","155","31","19","27","15","9","84","58","339","2018-2019","CSKA Moscow"
"KHOMENKO, ALEXANDER","1","0","1:31","2","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2018-2019","CSKA Moscow"
"KULAGIN, MIKHAIL","9","0","51:56","16","1","5","4","12","2","2","0","0","0","6","0","5","0","1","9","3","-2","2018-2019","CSKA Moscow"
"KURBANOV, NIKITA","34","28","604:06","194","41","62","24","47","40","48","35","85","120","27","18","26","7","3","68","47","264","2018-2019","CSKA Moscow"
"LOPATIN, ANDREI","1","0","4:43","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","1","2018-2019","CSKA Moscow"
"PETERS, ALEC","36","18","586:04","190","24","60","39","90","25","28","24","72","96","26","17","22","3","13","85","32","154","2018-2019","CSKA Moscow"
"RODRIGUEZ, SERGIO","35","10","764:58","357","60","131","67","171","36","41","9","44","53","159","24","76","2","8","74","60","317","2018-2019","CSKA Moscow"
"UKHOV, IVAN","13","0","71:34","22","9","11","1","5","1","1","1","9","10","8","2","5","0","0","9","1","23","2018-2019","CSKA Moscow"
"VORONTSEVICH, ANDREY","19","4","191:10","42","2","13","10","33","8","8","9","21","30","13","5","6","4","2","20","8","40","2018-2019","CSKA Moscow"
"ANTONOV, SEMEN","34","22","465:37","142","33","56","20","50","16","22","26","44","70","20","13","10","16","2","76","21","135","2017-2018","CSKA Moscow"
"CLYBURN, WILL","36","13","955:58","417","111","246","32","83","99","143","54","157","211","65","31","58","9","17","72","134","490","2017-2018","CSKA Moscow"
"DE COLO, NANDO","32","15","825:07","533","123","216","58","118","113","119","10","62","72","119","40","74","3","15","65","152","606","2017-2018","CSKA Moscow"
"FRIDZON, VITALY","30","0","227:49","86","16","44","13","34","15","17","9","12","21","11","8","12","2","6","49","16","26","2017-2018","CSKA Moscow"
"GANKEVICH, ALEXANDER","1","0","1:22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","-2","2017-2018","CSKA Moscow"
"HIGGINS, CORY","36","21","887:50","510","145","253","40","88","100","124","13","72","85","67","37","51","5","20","102","146","497","2017-2018","CSKA Moscow"
"HINES, KYLE","31","26","674:21","261","101","166","0","1","59","75","61","74","135","38","34","13","24","22","80","80","375","2017-2018","CSKA Moscow"
"HUNTER, OTHELLO","30","9","579:06","247","96","154","0","2","55","74","81","84","165","20","27","23","10","13","73","66","347","2017-2018","CSKA Moscow"
"KHRYAPA, VICTOR","16","3","105:16","25","7","12","3","9","2","4","3","19","22","6","4","8","2","0","19","4","23","2017-2018","CSKA Moscow"
"KOROBKOV, PAVEL","4","0","33:20","9","4","5","0","0","1","1","0","1","1","0","0","1","0","0","6","1","3","2017-2018","CSKA Moscow"
"KULAGIN, MIKHAIL","7","0","48:08","30","4","7","7","14","1","2","0","2","2","9","3","2","0","0","5","5","31","2017-2018","CSKA Moscow"
"KURBANOV, NIKITA","36","35","671:18","188","45","83","18","54","44","51","33","82","115","45","24","29","13","8","88","51","230","2017-2018","CSKA Moscow"
"MAKIEV, ALAN","1","0","0:55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","-2","2017-2018","CSKA Moscow"
"RODRIGUEZ, SERGIO","36","22","936:42","495","79","138","92","210","61","68","11","62","73","178","30","77","4","13","76","68","498","2017-2018","CSKA Moscow"
"RUDD, VICTOR","13","1","131:53","30","5","12","4","14","8","9","2","13","15","4","6","6","3","0","13","9","30","2017-2018","CSKA Moscow"
"VORONTSEVICH, ANDREY","30","9","451:22","142","25","48","27","68","11","14","15","56","71","20","6","12","16","1","50","21","146","2017-2018","CSKA Moscow"
"WESTERMANN, LEO","17","4","228:56","79","12","29","13","40","16","16","4","16","20","32","7","14","1","2","31","20","68","2017-2018","CSKA Moscow"
"ANTONOV, SEMEN","28","3","244:36","60","8","21","14","26","2","2","5","27","32","8","9","9","9","3","49","7","39","2016-2017","CSKA Moscow"
"AUGUSTINE, JAMES","34","6","556:31","205","88","131","1","3","26","45","58","95","153","13","28","19","18","12","69","37","290","2016-2017","CSKA Moscow"
"AYRES, JEFF","4","2","36:45","24","5","10","0","0","14","16","9","10","19","0","0","1","3","0","6","10","42","2016-2017","CSKA Moscow"
"DE COLO, NANDO","28","23","757:24","534","133","240","43","101","139","145","4","77","81","110","28","91","2","17","61","168","583","2016-2017","CSKA Moscow"
"FREELAND, JOEL","15","4","79:15","23","9","17","0","0","5","13","5","13","18","1","3","0","1","0","19","9","20","2016-2017","CSKA Moscow"
"FRIDZON, VITALY","35","6","453:11","208","45","77","25","60","43","50","13","29","42","27","20","28","10","7","70","48","176","2016-2017","CSKA Moscow"
"HIGGINS, CORY","32","7","652:02","305","75","152","25","62","80","91","13","56","69","48","24","49","4","13","67","102","298","2016-2017","CSKA Moscow"
"HINES, KYLE","35","23","716:13","297","106","163","0","0","85","121","73","77","150","22","25","48","18","19","101","101","352","2016-2017","CSKA Moscow"
"JACKSON, AARON","34","29","736:39","259","65","120","31","65","36","49","10","39","49","121","25","56","2","7","56","64","299","2016-2017","CSKA Moscow"
"KHRYAPA, VICTOR","32","11","435:25","120","38","80","7","38","23","28","18","98","116","57","27","26","11","2","51","44","218","2016-2017","CSKA Moscow"
"KULAGIN, MIKHAIL","7","0","37:28","25","3","6","5","12","4","5","1","1","2","0","2","5","1","0","9","4","9","2016-2017","CSKA Moscow"
"KULAGIN, DMITRY","17","5","175:51","67","16","37","9","30","8","10","4","22","26","20","5","15","1","0","24","10","46","2016-2017","CSKA Moscow"
"KURBANOV, NIKITA","35","29","670:54","212","44","90","16","48","76","85","33","99","132","39","20","33","16","12","83","62","266","2016-2017","CSKA Moscow"
"TEODOSIC, MILOS","29","6","801:14","467","66","120","77","202","104","116","5","56","61","197","16","88","1","12","53","99","497","2016-2017","CSKA Moscow"
"VORONTSEVICH, ANDREY","35","21","695:48","257","44","87","52","109","13","25","21","82","103","33","17","16","16","4","73","33","254","2016-2017","CSKA Moscow"
"ABRINES, ALEX","25","3","370:28","130","15","32","30","65","10","12","13","39","52","10","14","6","2","2","44","20","122","2019-2020","FC Barcelona"
"BOLMARO, LEANDRO","6","1","55:12","11","4","14","0","5","3","3","2","3","5","14","6","6","0","2","13","6","6","2019-2020","FC Barcelona"
"CLAVER, VICTOR","17","15","360:17","97","20","36","15","33","12","12","15","36","51","27","13","7","4","1","32","17","135","2019-2020","FC Barcelona"
"DAVIES, BRANDON","28","14","562:50","268","99","189","5","13","55","70","34","75","109","45","31","56","16","9","71","69","289","2019-2020","FC Barcelona"
"DELANEY, MALCOLM","26","6","584:08","266","29","62","55","128","43","63","3","53","56","125","17","59","2","2","71","77","285","2019-2020","FC Barcelona"
"HANGA, ADAM","28","25","567:11","161","43","75","16","58","27","36","18","64","82","95","19","43","6","5","62","51","221","2019-2020","FC Barcelona"
"HEURTEL, THOMAS","3","0","40:04","16","1","3","4","10","2","2","2","5","7","14","1","2","0","1","7","2","22","2019-2020","FC Barcelona"
"HIGGINS, CORY","23","20","611:38","286","69","143","30","75","58","71","11","37","48","63","15","42","3","16","46","90","269","2019-2020","FC Barcelona"
"KURIC, KYLE","27","3","522:58","254","46","92","43","97","33","37","21","36","57","25","19","18","4","6","33","43","241","2019-2020","FC Barcelona"
"MIROTIC, NIKOLA","28","28","779:27","533","119","195","54","163","133","153","48","146","194","44","32","53","9","13","50","138","629","2019-2020","FC Barcelona"
"ORIOLA, PIERRE","28","0","408:57","107","25","37","14","28","15","27","19","40","59","18","9","14","3","1","39","20","124","2019-2020","FC Barcelona"
"PUSTOVYI, ARTEM","1","0","3:44","0","0","1","0","0","0","0","1","0","1","0","0","1","0","0","0","0","-1","2019-2020","FC Barcelona"
"RIBAS, PAU","12","1","112:15","19","3","7","3","16","4","7","5","9","14","18","3","8","0","0","6","6","26","2019-2020","FC Barcelona"
"SMITS, ROLANDS","16","10","158:30","50","10","24","9","19","3","4","14","15","29","5","1","7","1","1","22","4","35","2019-2020","FC Barcelona"
"TOMIC, ANTE","28","14","462:21","159","68","116","0","1","23","38","33","79","112","29","10","38","7","3","53","50","209","2019-2020","FC Barcelona"
"BLAZIC, JAKA","25","7","342:03","130","28","55","12","31","38","47","20","37","57","15","9","13","3","8","34","38","142","2018-2019","FC Barcelona Lassa"
"CLAVER, VICTOR","35","25","743:35","187","42","72","19","56","46","56","30","81","111","35","21","28","13","3","59","61","261","2018-2019","FC Barcelona Lassa"
"HANGA, ADAM","27","13","563:43","238","70","123","20","71","38","51","20","88","108","50","31","22","9","10","70","69","286","2018-2019","FC Barcelona Lassa"
"HEURTEL, THOMAS","35","19","739:06","365","101","207","36","80","55","73","9","57","66","167","23","81","0","16","48","79","387","2018-2019","FC Barcelona Lassa"
"KURIC, KYLE","34","14","670:55","284","45","88","54","136","32","37","24","49","73","28","27","22","2","7","45","47","257","2018-2019","FC Barcelona Lassa"
"ORIOLA, PIERRE","35","1","602:38","191","57","105","13","45","38","62","47","76","123","25","10","22","10","10","74","54","203","2018-2019","FC Barcelona Lassa"
"PANGOS, KEVIN","35","16","711:43","246","52","116","33","104","43","58","6","34","40","111","15","53","0","6","70","82","215","2018-2019","FC Barcelona Lassa"
"PUSTOVYI, ARTEM","9","0","72:40","34","13","18","0","0","8","13","9","6","15","1","2","3","4","0","9","13","47","2018-2019","FC Barcelona Lassa"
"RIBAS, PAU","26","11","452:40","140","13","44","34","88","12","15","7","42","49","55","19","28","0","2","36","28","137","2018-2019","FC Barcelona Lassa"
"SERAPHIN, KEVIN","27","2","380:04","225","96","152","0","0","33","42","37","59","96","13","6","45","10","5","72","44","207","2018-2019","FC Barcelona Lassa"
"SINGLETON, CHRIS","35","34","874:03","279","45","127","47","119","48","62","33","121","154","30","38","38","17","9","83","85","305","2018-2019","FC Barcelona Lassa"
"SMITS, ROLANDS","14","0","162:11","62","11","27","10","27","10","11","8","20","28","8","5","9","3","4","22","12","49","2018-2019","FC Barcelona Lassa"
"TOMIC, ANTE","35","33","709:39","352","146","237","0","0","60","98","70","106","176","61","19","57","12","8","82","119","463","2018-2019","FC Barcelona Lassa"
"CLAVER, VICTOR","24","6","383:57","111","23","48","19","45","8","10","20","50","70","28","14","11","6","5","48","18","130","2017-2018","FC Barcelona Lassa"
"DIAGNE, ATOUMANE","1","0","7:56","0","0","0","0","0","0","0","0","1","1","0","2","1","1","0","2","0","1","2017-2018","FC Barcelona Lassa"
"GARCIA, MARC","1","0","1:14","5","0","0","1","1","2","2","0","1","1","0","0","0","0","0","0","1","7","2017-2018","FC Barcelona Lassa"
"HANGA, ADAM","26","25","643:02","225","57","109","25","72","36","53","29","68","97","52","19","34","17","7","63","47","237","2017-2018","FC Barcelona Lassa"
"HEURTEL, THOMAS","30","22","709:16","340","98","168","32","92","48","59","13","60","73","193","22","69","0","20","57","77","418","2017-2018","FC Barcelona Lassa"
"JACKSON, EDWIN","9","2","131:01","41","11","24","5","11","4","4","6","11","17","11","7","8","0","0","15","14","48","2017-2018","FC Barcelona Lassa"
"KOPONEN, PETTERI","29","9","585:20","230","37","79","47","92","15","16","5","40","45","44","14","25","0","7","40","38","211","2017-2018","FC Barcelona Lassa"
"KURUCS, RODIONS","4","1","16:07","0","0","2","0","0","0","0","0","3","3","0","2","1","0","1","4","0","-3","2017-2018","FC Barcelona Lassa"
"MOERMAN, ADRIEN","30","23","667:46","228","57","99","34","105","12","19","39","125","164","29","19","27","6","5","72","27","249","2017-2018","FC Barcelona Lassa"
"NAVARRO, JUAN CARLOS","22","7","342:30","152","18","50","28","84","32","36","6","18","24","41","7","23","0","2","27","43","123","2017-2018","FC Barcelona Lassa"
"ORIOLA, PIERRE","27","5","507:15","224","66","112","15","32","47","63","36","58","94","16","7","18","7","4","78","58","227","2017-2018","FC Barcelona Lassa"
"PRESSEY, PHIL","18","1","225:00","79","21","39","9","35","10","15","0","29","29","37","10","18","1","1","33","23","78","2017-2018","FC Barcelona Lassa"
"RIBAS, PAU","28","12","498:43","188","21","38","43","90","17","17","6","38","44","84","20","39","2","0","41","32","226","2017-2018","FC Barcelona Lassa"
"SANDERS, RAKIM","15","8","304:25","133","37","78","16","48","11","14","11","35","46","14","22","12","4","8","37","27","113","2017-2018","FC Barcelona Lassa"
"SERAPHIN, KEVIN","15","14","304:10","182","73","125","0","1","36","55","25","48","73","14","4","28","14","8","39","47","187","2017-2018","FC Barcelona Lassa"
"TOMIC, ANTE","28","14","520:24","272","110","177","0","1","52","86","48","88","136","45","8","32","8","5","67","96","359","2017-2018","FC Barcelona Lassa"
"VEZENKOV, SASHA","13","1","151:54","46","11","17","4","18","12","13","11","22","33","7","5","2","1","1","16","16","68","2017-2018","FC Barcelona Lassa"
"CLAVER, VICTOR","27","19","593:36","163","33","61","23","61","28","36","23","95","118","34","25","33","8","5","45","36","227","2016-2017","FC Barcelona Lassa"
"DIAGNE, MOUSSA","8","1","78:40","21","5","13","0","0","11","18","8","20","28","3","2","7","1","1","18","16","30","2016-2017","FC Barcelona Lassa"
"DOELLMAN, JUSTIN","15","14","299:18","117","27","66","15","28","18","19","10","37","47","18","13","14","2","8","23","27","126","2016-2017","FC Barcelona Lassa"
"DORSEY, JOEY","17","0","291:56","93","34","62","0","0","25","44","46","61","107","14","9","30","5","5","41","32","137","2016-2017","FC Barcelona Lassa"
"ERIKSSON, MARCUS","22","3","217:21","44","4","16","12","34","0","0","7","20","27","7","8","11","3","1","26","9","26","2016-2017","FC Barcelona Lassa"
"FAVERANI, VITOR","9","1","139:22","69","24","38","1","7","18","22","8","30","38","5","3","15","2","1","17","26","86","2016-2017","FC Barcelona Lassa"
"HOLMES, JONATHAN","7","2","89:25","36","7","11","4","12","10","12","8","11","19","2","2","11","1","1","19","13","28","2016-2017","FC Barcelona Lassa"
"KOPONEN, PETTERI","27","3","609:59","274","33","86","55","119","43","47","5","41","46","51","20","36","0","5","52","64","241","2016-2017","FC Barcelona Lassa"
"KURUCS, RODIONS","1","0","3:20","2","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2016-2017","FC Barcelona Lassa"
"MUNFORD, XAVIER","5","0","33:50","5","1","6","1","3","0","0","2","3","5","2","1","9","0","1","2","1","-5","2016-2017","FC Barcelona Lassa"
"NAVARRO, JUAN CARLOS","16","8","246:53","91","14","38","16","56","15","16","1","16","17","28","7","28","0","4","20","29","55","2016-2017","FC Barcelona Lassa"
"OLESON, BRAD","24","18","519:20","128","30","44","20","58","8","10","11","33","44","47","14","20","5","2","40","21","143","2016-2017","FC Barcelona Lassa"
"PENO, STEFAN","10","0","48:08","11","2","5","1","3","4","4","2","4","6","5","3","6","1","0","10","7","12","2016-2017","FC Barcelona Lassa"
"PERPEROGLOU, STRATOS","22","15","459:45","140","34","86","19","53","15","22","8","61","69","34","16","23","4","1","33","31","144","2016-2017","FC Barcelona Lassa"
"RENFROE, ALEX","17","2","301:02","67","12","27","12","31","7","7","10","26","36","28","17","24","0","0","34","19","75","2016-2017","FC Barcelona Lassa"
"RIBAS, PAU","2","0","19:51","9","0","1","3","6","0","0","0","1","1","1","1","1","0","0","2","2","7","2016-2017","FC Barcelona Lassa"
"RICE, TYRESE","30","30","888:40","389","82","192","55","172","60","73","8","41","49","146","34","77","3","18","63","96","319","2016-2017","FC Barcelona Lassa"
"TOMIC, ANTE","29","28","632:46","256","105","199","0","1","46","93","63","108","171","58","17","56","20","8","62","123","377","2016-2017","FC Barcelona Lassa"
"VEZENKOV, SASHA","30","6","551:48","226","48","71","34","71","28","33","25","72","97","34","20","19","6","4","46","43","292","2016-2017","FC Barcelona Lassa"
"BARTHEL, DANILO","27","24","657:30","213","57","95","21","67","36","48","26","78","104","38","10","37","3","8","52","68","243","2019-2020","FC Bayern Munich"
"BRAY, THOMAS","10","3","204:25","64","10","23","12","32","8","9","3","14","17","27","9","16","0","3","22","14","56","2019-2020","FC Bayern Munich"
"DEDOVIC, NIHAD","14","11","320:41","119","33","65","12","48","17","19","10","23","33","31","14","22","0","6","25","25","99","2019-2020","FC Bayern Munich"
"FLACCADORI, DIEGO","22","0","187:58","42","14","31","2","14","8","11","3","9","12","14","3","17","2","3","21","14","14","2019-2020","FC Bayern Munich"
"GEORGE, JASON","1","0","1:57","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","-1","2019-2020","FC Bayern Munich"
"GRANT, SASHA","4","0","4:34","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","2019-2020","FC Bayern Munich"
"HUESTIS, JOSHUA","15","4","200:16","58","13","24","9","25","5","7","10","16","26","4","6","8","7","1","20","6","49","2019-2020","FC Bayern Munich"
"KING, ALEX","18","0","156:31","31","2","3","9","23","0","2","1","13","14","8","5","5","0","0","26","5","15","2019-2020","FC Bayern Munich"
"KOPONEN, PETTERI","24","10","410:54","162","13","38","41","82","13","17","2","26","28","36","6","24","0","3","46","28","117","2019-2020","FC Bayern Munich"
"LESSORT, MATHIAS","22","4","248:23","83","28","53","0","0","27","45","25","24","49","11","10","24","10","2","42","40","92","2019-2020","FC Bayern Munich"
"LO, MAODO","28","25","680:24","251","36","92","52","122","23","31","7","47","54","93","19","59","1","21","82","49","171","2019-2020","FC Bayern Munich"
"LUCIC, VLADIMIR","26","25","721:54","295","78","129","26","61","61","72","21","78","99","38","25","36","6","9","43","98","376","2019-2020","FC Bayern Munich"
"MONROE, GREG","28","24","676:31","361","145","277","0","0","71","95","62","127","189","71","37","71","16","22","60","105","470","2019-2020","FC Bayern Munich"
"NELSON, DEMARCUS","17","1","217:08","63","22","48","4","17","7","10","6","16","22","32","9","23","0","10","28","7","30","2019-2020","FC Bayern Munich"
"RADOSEVIC, LEON","19","0","209:29","53","23","56","0","0","7","13","12","25","37","13","2","12","4","1","23","18","52","2019-2020","FC Bayern Munich"
"SISKO, ZAN","7","1","107:30","37","9","13","5","10","4","4","3","4","7","17","10","14","0","1","14","4","37","2019-2020","FC Bayern Munich"
"ZIPSER, PAUL","28","8","618:55","237","53","115","25","62","56","70","29","67","96","33","14","34","12","6","77","66","228","2019-2020","FC Bayern Munich"
"AMAIZE, ROBIN","15","0","62:32","12","1","4","3","7","1","2","1","2","3","4","2","3","0","0","18","3","-5","2018-2019","FC Bayern Munich"
"BARTHEL, DANILO","30","28","711:47","244","72","132","19","47","43","61","30","90","120","56","10","39","7","16","69","88","295","2018-2019","FC Bayern Munich"
"BOOKER, DEVIN","16","12","328:31","143","57","98","6","16","11","18","22","32","54","24","10","20","5","2","32","33","157","2018-2019","FC Bayern Munich"
"DANGUBIC, NEMANJA","30","1","444:37","125","23","54","17","43","28","37","11","61","72","14","10","13","4","10","56","36","116","2018-2019","FC Bayern Munich"
"DEDOVIC, NIHAD","30","28","690:06","297","75","134","32","97","51","61","19","55","74","80","29","34","1","8","69","64","300","2018-2019","FC Bayern Munich"
"HOBBS, BRAYDON","18","0","176:48","67","0","6","20","41","7","8","2","14","16","48","8","16","0","0","19","10","86","2018-2019","FC Bayern Munich"
"JOVIC, STEFAN","23","17","493:53","190","58","104","18","45","20","27","12","43","55","105","29","41","1","8","49","33","235","2018-2019","FC Bayern Munich"
"KING, ALEX","14","0","39:45","8","1","1","2","9","0","3","5","1","6","3","1","1","0","0","4","1","4","2018-2019","FC Bayern Munich"
"KOPONEN, PETTERI","30","3","549:12","271","47","81","51","109","24","26","8","39","47","57","9","28","1","1","40","42","264","2018-2019","FC Bayern Munich"
"LO, MAODO","29","13","530:00","193","47","91","22","64","33","42","7","36","43","55","28","37","2","14","56","47","166","2018-2019","FC Bayern Munich"
"LUCIC, VLADIMIR","29","29","758:51","291","78","125","26","74","57","69","22","89","111","35","32","20","5","4","69","77","351","2018-2019","FC Bayern Munich"
"OGUNSIPE, MARVIN","10","3","62:27","9","4","8","0","3","1","2","2","5","7","1","2","4","0","0","13","4","-2","2018-2019","FC Bayern Munich"
"RADOSEVIC, LEON","29","14","446:23","134","59","105","0","1","16","24","23","36","59","27","9","28","11","6","52","38","137","2018-2019","FC Bayern Munich"
"WILLIAMS, DERRICK","29","2","755:08","388","91","168","36","108","98","125","36","85","121","18","18","43","14","6","40","118","412","2018-2019","FC Bayern Munich"
"BIBEROVIC, TARIK","6","1","64:17","14","7","18","0","7","0","0","5","5","10","6","0","3","1","0","6","0","4","2019-2020","Fenerbahce Beko Istanbul"
"CANDAN, BERKAY","1","0","1:56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2019-2020","Fenerbahce Beko Istanbul"
"DATOME, LUIGI","28","15","627:41","233","44","82","44","102","13","14","20","75","95","36","21","30","8","2","86","28","206","2019-2020","Fenerbahce Beko Istanbul"
"DE COLO, NANDO","24","17","688:34","382","88","153","40","100","86","90","20","52","72","71","15","69","1","10","46","110","397","2019-2020","Fenerbahce Beko Istanbul"
"DUVERIOGLU, AHMET","17","8","165:02","50","20","35","0","0","10","16","20","22","42","6","5","9","5","4","32","17","59","2019-2020","Fenerbahce Beko Istanbul"
"KALINIC, NIKOLA","26","12","595:34","172","42","85","16","51","40","46","13","51","64","43","22","44","3","11","71","66","160","2019-2020","Fenerbahce Beko Istanbul"
"LAUVERGNE, JOFFREY","19","9","263:29","119","49","87","2","7","15","34","13","38","51","16","3","16","3","6","21","39","126","2019-2020","Fenerbahce Beko Istanbul"
